ID	parentID	status	scientificName	authorship	rank	link
6436	x9T	accepted	Crocodylus acutus	(Cuvier, 1807)	species	https://www.speciesplus.net/species#/taxon_concepts/6436/legal
64444	12629	accepted	Discocactus boliviensis		species	https://www.speciesplus.net/species#/taxon_concepts/64444/legal
64447	12629	accepted	Discocactus catingicola		species	https://www.speciesplus.net/species#/taxon_concepts/64447/legal
64452	12629	accepted	Discocactus hartmannii		species	https://www.speciesplus.net/species#/taxon_concepts/64452/legal
6473	xGZ	accepted	Lampsilis higginsii	(I. Lea, 1857)	species	https://www.speciesplus.net/species#/taxon_concepts/6473/legal
6477	x84	accepted	Balaenoptera bonaerensis	Burmeister, 1867	species	https://www.speciesplus.net/species#/taxon_concepts/6477/legal
6482	1371	accepted	Propithecus tattersalli	Simons, 1988	species	https://www.speciesplus.net/species#/taxon_concepts/6482/legal
6506	xDJ	accepted	Varanus nebulosus	(Gray, 1831)	species	https://www.speciesplus.net/species#/taxon_concepts/6506/legal
65114	12962	accepted	Paphiopedilum braemii	H.Mohr	species	https://www.speciesplus.net/species#/taxon_concepts/65114/legal
65122	12962	accepted	Paphiopedilum jackii	H.S.Hua, 1995	species	https://www.speciesplus.net/species#/taxon_concepts/65122/legal
65124	12962	accepted	Paphiopedilum leucochilum	(Rolfe) Fowlie	species	https://www.speciesplus.net/species#/taxon_concepts/65124/legal
65125	12962	accepted	Paphiopedilum moquetteanum		species	https://www.speciesplus.net/species#/taxon_concepts/65125/legal
65133	12962	accepted	Paphiopedilum wilhelminae	L.O.Williams	species	https://www.speciesplus.net/species#/taxon_concepts/65133/legal
65505	13147	accepted	Ceratozamia chimalapensis		species	https://www.speciesplus.net/species#/taxon_concepts/65505/legal
65506	13147	accepted	Ceratozamia decumbens		species	https://www.speciesplus.net/species#/taxon_concepts/65506/legal
65507	13147	accepted	Ceratozamia fuscoviridis		species	https://www.speciesplus.net/species#/taxon_concepts/65507/legal
65508	13147	accepted	Ceratozamia hondurensis		species	https://www.speciesplus.net/species#/taxon_concepts/65508/legal
65509	13147	accepted	Ceratozamia huastecorum		species	https://www.speciesplus.net/species#/taxon_concepts/65509/legal
65511	13147	accepted	Ceratozamia santillanii		species	https://www.speciesplus.net/species#/taxon_concepts/65511/legal
65512	13147	accepted	Ceratozamia vovidesii		species	https://www.speciesplus.net/species#/taxon_concepts/65512/legal
65513	13147	accepted	Ceratozamia zoquorum	Pérez- Farr., Vovides & Iglesias	species	https://www.speciesplus.net/species#/taxon_concepts/65513/legal
6560	1326	accepted	Achatinella lehuiensis	Smith, 1873	species	https://www.speciesplus.net/species#/taxon_concepts/6560/legal
6568	x32T	accepted	Cercopithecus roloway	(Schreber, 1774)	species	https://www.speciesplus.net/species#/taxon_concepts/6568/legal
65736	xHT	accepted	Chilabothrus monensis	(Zenneck, 1898)	species	https://www.speciesplus.net/species#/taxon_concepts/65736/legal
65739	xHT	accepted	Chilabothrus subflavus	(Stejneger, 1901)	species	https://www.speciesplus.net/species#/taxon_concepts/65739/legal
65766	xWW	accepted	Cuora bourreti	Obst & Reimann, 1994	species	https://www.speciesplus.net/species#/taxon_concepts/65766/legal
65767	xWW	accepted	Cuora picturata	Lehr, Fritz & Obst, 1998	species	https://www.speciesplus.net/species#/taxon_concepts/65767/legal
65822	xR9	accepted	Leucogeranus leucogeranus	(Pallas, 1773)	species	https://www.speciesplus.net/species#/taxon_concepts/65822/legal
65824	x77	accepted	Antigone vipio	(Pallas, 1811)	species	https://www.speciesplus.net/species#/taxon_concepts/65824/legal
65832	xF5	accepted	Hypotaenidia sylvestris	(P. L. Sclater, 1870)	species	https://www.speciesplus.net/species#/taxon_concepts/65832/legal
65853	x9W	accepted	Pezoporus flaviventris	North, 1911	species	https://www.speciesplus.net/species#/taxon_concepts/65853/legal
65863	xHF	accepted	Psephotellus chrysopterygius	(Gould, 1857)	species	https://www.speciesplus.net/species#/taxon_concepts/65863/legal
65864	xHF	accepted	Psephotellus dissimilis	(Collett, 1898)	species	https://www.speciesplus.net/species#/taxon_concepts/65864/legal
65865	xHF	accepted	Psephotellus pulcherrimus	(Gould, 1845)	species	https://www.speciesplus.net/species#/taxon_concepts/65865/legal
6600	x3CV	accepted	Papasula abbotti	Ridgway, 1893	species	https://www.speciesplus.net/species#/taxon_concepts/6600/legal
