taxonID	property	value	remarks
258	CITES	Appendix I	
278	CITES	Appendix I	Appendix I:All species and populations except NA, SZ and ZA populations of Ceratotherium simum simum
388	CITES	Appendix I	
390	CITES	Appendix I	
415	CITES	Appendix I	
458	CITES	Appendix I	
484	CITES	Appendix I	
531	CITES	Appendix I	
535	CITES	Appendix I	
557	CITES	Appendix I	
568	CITES	Appendix I	Appendix I:Except Tapirus terrestris.
795	CITES	Appendix I	
814	CITES	Appendix I	
865	CITES	Appendix I	
875	CITES	Appendix I	
887	CITES	Appendix I	
903	CITES	Appendix I	
923	CITES	Appendix I	Appendix I:Formerly included in Balaena spp.
944	CITES	Appendix I	
970	CITES	Appendix I	
997	CITES	Appendix I	
1005	CITES	Appendix I	
1020	CITES	Appendix I	
1037	CITES	Appendix I	
1056	CITES	Appendix I	
1099	CITES	Appendix I	
1136	CITES	Appendix I	
1171	CITES	Appendix I	
1189	CITES	Appendix I	
1286	CITES	Appendix I	
1326	CITES	Appendix I	
1337	CITES	Appendix I	
1343	CITES	Appendix I	Appendix I:Except Tapirus terrestris.
1361	CITES	Appendix I	Appendix I:Formerly included in Nectophrynoides spp.
1365	CITES	Appendix I	
1371	CITES	Appendix I	
1438	CITES	Appendix I	Appendix I:Formerly included in Nectophrynoides spp.
1446	CITES	Appendix I	
1491	CITES	Appendix I	
1511	CITES	Appendix I	
1538	CITES	Appendix I	Appendix I:All species and populations except NA, SZ and ZA populations of Ceratotherium simum simum
1558	CITES	Appendix I	Appendix I:Populations of AF, BT, IN, MM, NP, PK Appendix II:All populations except those included in Appendix I
1562	CITES	Appendix I	
1585	CITES	Appendix I	Appendix I:All species and populations except NA, SZ and ZA populations of Ceratotherium simum simum
1708	CITES	Appendix I	Appendix I:Except the populations of Loxodonta africana of Botswana, Namibia, South Africa and Zimbabwe, which are included in Appendix II subject to annotation A11.
1718	CITES	Appendix I	
1730	CITES	Appendix I	
1747	CITES	Appendix I	
1776	CITES	Appendix I	
1836	CITES	Appendix I	
1900	CITES	Appendix I	Appendix I:All species and populations except NA, SZ and ZA populations of Ceratotherium simum simum
1938	CITES	Appendix I	
1942	CITES	Appendix I	Appendix I:Specimens of the domesticated form are not subject to the provisions of the Convention.
1956	CITES	Appendix I	
1973	CITES	Appendix I	
2002	CITES	Appendix I	
2007	CITES	Appendix I	
2047	CITES	Appendix I	
2063	CITES	Appendix I	
2110	CITES	Appendix I	
2239	CITES	Appendix I	
2321	CITES	Appendix I	
2326	CITES	Appendix I	
2499	CITES	Appendix I	
2522	CITES	Appendix I	
2530	CITES	Appendix I	
2545	CITES	Appendix I	
2546	CITES	Appendix I	Appendix I:All species and populations except NA, SZ and ZA populations of Ceratotherium simum simum
2611	CITES	Appendix I	
2683	CITES	Appendix I	
2686	CITES	Appendix I	
2716	CITES	Appendix I	
3052	CITES	Appendix I	
3057	CITES	Appendix I	
3080	CITES	Appendix I	
3167	CITES	Appendix I	
3194	CITES	Appendix I	Appendix I:Formerly included in Nectophrynoides spp.
3198	CITES	Appendix I	Appendix I:Formerly included in Pteropus mariannus.
3217	CITES	Appendix I	
3223	CITES	Appendix I	
